"longitude" "latitude" "obs" "CMAQ"
-85.39944 36.205 72 66.5356
-86.59889 35.73278 59.875 59.4391
-83.60972 35.69667 70 53.6367
-83.49805 35.56278 68.75 53.2799
-90.01945 35.2175 60.25 58.3378
-89.83222 35.37722 55.25 63.2333
-82.42611 36.54111 69.25 75.3566
-82.48583 36.58222 74.875 69.8323
-86.65278 36.29778 85.875 69.2274
-86.56416 36.45389 81.429 70.4859
-87.13722 35.95194 65.625 57.9018
-86.28611 36.06028 71.25 64.0326
-98.62 29.515 37 48.558
-98.565 29.63222 39.25 43.05
-98.31175 29.27533 34.75 31.6453
-95.39833 29.01111 30.375 20.833
-96.7861 33.1325 63.625 52.3335
-96.55111 33.35583 57.75 48.5258
-96.86 32.82 50.625 43.3029
-96.80833 32.9191 58.625 45.9149
-96.8716 32.6766 44.125 46.0069
-96.53 32.78028 45.75 46.8623
-97.19334 33.19167 79.625 59.3008
-97.025 32.43694 47.125 42.2592
-94.85639 29.26306 42.875 64.1945
-94.93333 29.39861 41.25 40.4701
-94.7125 32.3825 71.25 49.0405
-95.32694 29.90111 64 44.971
-95.12555 29.8025 56 20.5748
-95.675 30.03944 60.875 45.4347
-95.28361 29.8275 59.125 44.971
-95.48917 29.83472 55.375 47.4453
-95.47361 29.62361 74.75 30.3671
-95.49416 29.69472 87 30.3671
-95.2675 29.62583 68 25.0475
-95.50361 29.72472 79.125 31.3907
-95.31694 29.73306 69.75 21.2166
-95.35028 29.75278 66.25 21.2166
-95.22083 29.76778 66.875 20.3554
-95.25694 29.73333 67.75 20.3554
-95.12806 29.66944 77.375 25.0635
-95.01556 29.58278 63 58.1341
-97.80361 32.44028 46.75 42.3872
-94.07472 30.03944 31.625 15.8641
-93.9879 29.89406 43.5 27.5905
-94.0025 29.94417 36.375 23.4522
-94.31776 29.86395 40.875 39.769
-93.89694 29.71806 63.75 68.479
-97.43195 32.35972 46.875 41.2523
-96.31583 32.56917 42.75 41.7097
-95.42167 30.35389 37.875 43.2939
-93.76167 30.08444 30 34.0198
-93.87305 30.18 28 37.6436
-97.90583 32.86861 49 43.2559
-96.45889 32.93639 54.125 46.7163
-95.41556 32.34389 57.125 43.2727
-97.46083 32.90111 67.875 54.9504
-97.35639 32.805 57.5 47.3681
-97.28194 32.92194 63.75 52.8713
-97.06361 32.98417 69.875 56.1601
-97.76 30.35417 34.5 46.6381
-97.0056 28.8361 28.125 36.5984
-73.25083 42.8975 46.5 39.8805
-72.87444 44.5275 46.25 34.4272
